site_id,family,locale,file_path,en_path,issue_type,detail,priority
reference.aspose.org,cells,ru,D:\onedrive\Documents\GitHub\aspose.org\content\reference.aspose.org\ru\cells\python\shape.md,D:\onedrive\Documents\GitHub\aspose.org\content\reference.aspose.org\en\cells\python\shape.md,table_desc_not_translated,13/13 desc cells English,3
reference.aspose.org,cells,sk,D:\onedrive\Documents\GitHub\aspose.org\content\reference.aspose.org\sk\cells\python\shape.md,D:\onedrive\Documents\GitHub\aspose.org\content\reference.aspose.org\en\cells\python\shape.md,newline_explosion,EN=95 TR=281,4
reference.aspose.org,cells,sr,D:\onedrive\Documents\GitHub\aspose.org\content\reference.aspose.org\sr\cells\python\shape.md,D:\onedrive\Documents\GitHub\aspose.org\content\reference.aspose.org\en\cells\python\shape.md,newline_explosion,EN=95 TR=269,4
reference.aspose.org,cells,sv,D:\onedrive\Documents\GitHub\aspose.org\content\reference.aspose.org\sv\cells\python\shape.md,D:\onedrive\Documents\GitHub\aspose.org\content\reference.aspose.org\en\cells\python\shape.md,newline_explosion,EN=95 TR=281,4
reference.aspose.org,cells,th,D:\onedrive\Documents\GitHub\aspose.org\content\reference.aspose.org\th\cells\python\shape.md,D:\onedrive\Documents\GitHub\aspose.org\content\reference.aspose.org\en\cells\python\shape.md,newline_explosion,EN=95 TR=281,4
reference.aspose.org,cells,th,D:\onedrive\Documents\GitHub\aspose.org\content\reference.aspose.org\th\cells\python\shape.md,D:\onedrive\Documents\GitHub\aspose.org\content\reference.aspose.org\en\cells\python\shape.md,table_desc_not_translated,13/13 desc cells English,3
reference.aspose.org,cells,tr,D:\onedrive\Documents\GitHub\aspose.org\content\reference.aspose.org\tr\cells\python\shape.md,D:\onedrive\Documents\GitHub\aspose.org\content\reference.aspose.org\en\cells\python\shape.md,newline_explosion,EN=95 TR=281,4
reference.aspose.org,cells,uk,D:\onedrive\Documents\GitHub\aspose.org\content\reference.aspose.org\uk\cells\python\shape.md,D:\onedrive\Documents\GitHub\aspose.org\content\reference.aspose.org\en\cells\python\shape.md,newline_explosion,EN=95 TR=281,4
reference.aspose.org,cells,uk,D:\onedrive\Documents\GitHub\aspose.org\content\reference.aspose.org\uk\cells\python\shape.md,D:\onedrive\Documents\GitHub\aspose.org\content\reference.aspose.org\en\cells\python\shape.md,table_desc_not_translated,13/13 desc cells English,3
reference.aspose.org,cells,vi,D:\onedrive\Documents\GitHub\aspose.org\content\reference.aspose.org\vi\cells\python\shape.md,D:\onedrive\Documents\GitHub\aspose.org\content\reference.aspose.org\en\cells\python\shape.md,newline_explosion,EN=95 TR=281,4
